,date,adj _close,volume,VolStat,id,negative,neutral,positive,vix_adj_close,close_previous
0,2016-01-28,24.1986,16421200,0.036647438072616285,2,1.0,442.0,4.0,22.42,24.7156
1,2016-01-29,24.7156,13445800,0.021254713747000376,2,1.0,9.0,6.0,20.2,24.206999999999997
2,2016-02-18,24.206999999999997,12158600,0.021392190152801326,2,4.0,23.0,4.0,21.64,23.9985
3,2016-02-19,23.9985,12362300,0.020775623268698112,2,1.0,11.0,7.0,20.53,24.7073
4,2016-02-22,24.7073,12215500,0.029881862404447512,2,7.0,6.0,5.0,19.38,24.4988
5,2016-02-23,24.4988,9949600,0.018361101666099937,2,2.0,9.0,3.0,20.98,24.0485
6,2016-02-24,24.0485,20989100,0.037952646239554313,2,3.0,14.0,11.0,20.72,24.5989
7,2016-02-25,24.5989,11904300,0.033298647242455806,2,7.0,18.0,8.0,19.11,24.7073
8,2016-02-26,24.7073,15778300,0.01412714429868825,2,5.0,18.0,13.0,19.81,26.9338
9,2016-03-22,26.9338,8195600,0.014027431421446362,2,1.0,7.0,3.0,14.17,26.4356
10,2016-03-23,26.4356,9107100,0.023809523809523746,2,11.0,8.0,5.0,14.94,26.1401
11,2016-03-24,26.1401,12041000,0.018782383419689064,2,6.0,7.0,4.0,14.74,26.1908
12,2016-03-28,26.1908,6109400,0.009958239640218398,2,1.0,7.0,5.0,15.24,26.3343
13,2016-03-29,26.3343,13667800,0.02255154639175267,2,7.0,10.0,35.0,13.82,26.1654
14,2016-03-30,26.1654,13377600,0.022582697201017837,2,18.0,13.0,29.0,13.56,27.5754
15,2016-04-21,27.5754,22792300,0.028330319469559908,2,3.0,10.0,6.0,13.95,27.1702
16,2016-04-22,27.1702,13824500,0.02051439069197801,2,4.0,20.0,4.0,13.22,26.976
17,2016-04-25,26.976,10604800,0.01589280149579302,2,4.0,14.0,8.0,14.08,27.1786
18,2016-04-26,27.1786,8701200,0.01156249999999992,2,1.0,8.0,10.0,13.96,27.1533
19,2016-04-27,27.1533,6711400,0.0093225605966439,2,1.0,10.0,12.0,13.77,27.3897
20,2016-04-28,27.3897,13443200,0.03127932436659357,2,1.0,18.0,7.0,15.22,26.8493
21,2016-04-29,26.8493,12533000,0.025656877897990784,2,,17.0,9.0,15.7,25.5997
22,2016-05-19,25.5997,10142200,0.016715830875122843,2,6.0,8.0,10.0,16.33,25.8108
23,2016-05-20,25.8108,7736100,0.01278269419862342,2,4.0,10.0,16.0,15.2,25.8277
24,2016-05-23,25.8277,6698900,0.00918032786885238,2,3.0,5.0,5.0,15.82,26.2161
25,2016-05-24,26.2161,8743100,0.015008156606851463,2,5.0,12.0,7.0,14.42,26.7227
26,2016-05-25,26.7227,10151600,0.02084001282462323,2,7.0,23.0,2.0,13.9,26.4187
27,2016-05-26,26.4187,6747700,0.01800947867298579,2,4.0,8.0,9.0,13.43,26.5032
28,2016-05-27,26.5032,6089800,0.012136697540721783,2,2.0,4.0,5.0,13.12,24.6772
29,2016-06-15,24.6772,8479900,0.014837819185645263,2,,1.0,3.0,20.14,24.814
30,2016-06-16,24.814,9654400,0.019881409138472278,2,3.0,14.0,7.0,19.37,24.9936
31,2016-06-17,24.9936,12707400,0.012697323266986993,2,31.0,27.0,2.0,19.41,25.3527
32,2016-06-20,25.3527,12329100,0.014854827819041232,2,2.0,13.0,4.0,18.37,25.233
33,2016-06-21,25.233,10318000,0.011470985155195677,2,6.0,10.0,6.0,18.48,25.0706
34,2016-06-22,25.0706,8717200,0.010906612133606008,2,3.0,15.0,8.0,21.17,25.4981
35,2016-06-23,25.4981,9598100,0.010138560324433955,2,2.0,18.0,10.0,17.25,24.2412
36,2016-06-24,24.2412,30181100,0.027641707487753645,2,,32.0,10.0,25.76,23.5229
37,2016-06-27,23.5229,18634200,0.02705589177643295,2,1.0,11.0,4.0,23.85,23.7196
38,2016-06-28,23.7196,14061400,0.020766201217329104,2,1.0,7.0,1.0,18.75,24.0872
