,date,negative,neutral,positive,id
0,2016-01-30,59,214,165,5
1,2016-02-27,40,153,218,5
2,2016-03-30,66,156,219,5
3,2016-04-29,35,148,210,5
4,2016-05-30,40,120,212,5
5,2016-06-29,37,177,208,5
6,2016-07-30,52,174,180,5
7,2016-08-30,40,213,145,5
8,2016-09-29,20,184,209,5
9,2016-10-30,67,161,197,5
10,2016-11-29,44,123,233,5
11,2016-12-30,30,169,240,5
12,2017-01-30,50,133,248,5
13,2017-02-27,26,187,217,5
14,2017-03-30,32,338,90,5
15,2017-04-29,19,251,197,5
16,2017-05-30,27,217,183,5
17,2017-06-29,24,203,69,5
18,2017-07-30,43,273,95,5
19,2017-08-30,25,199,192,5
20,2017-09-29,76,251,125,5
21,2017-10-30,28,146,228,5
22,2018-01-30,48,200,198,5
23,2018-02-27,124,196,151,5
24,2018-03-30,37,248,153,5
25,2018-04-29,52,299,92,5
26,2018-05-29,5,16,11,5
27,2018-05-30,72,222,123,5
28,2018-06-28,7,71,21,5
29,2018-06-29,55,227,96,5
30,2018-07-29,5,44,5,5
31,2018-07-30,101,191,116,5
32,2018-08-30,107,200,159,5
33,2018-09-29,54,207,193,5
34,2018-10-29,6,65,34,5
35,2018-10-30,43,151,106,5
36,2018-11-28,25,105,69,5
37,2018-11-29,42,150,73,5
38,2018-12-30,35,261,155,5
39,2019-01-29,1,11,4,5
40,2019-01-30,64,206,147,5
41,2019-02-26,16,65,60,5
42,2019-02-27,40,193,93,5
43,2019-03-29,2,3,2,5
44,2019-03-30,86,155,222,5
45,2019-04-28,16,58,48,5
46,2019-04-29,41,103,105,5
47,2019-05-30,32,284,137,5
48,2019-06-29,62,296,104,5
49,2019-07-30,36,148,281,5
50,2019-08-29,29,70,72,5
51,2019-08-30,29,111,127,5
52,2019-09-29,130,196,134,5
53,2019-10-29,18,39,35,5
54,2019-10-30,56,146,178,5
55,2019-11-28,48,94,78,5
56,2019-11-29,45,98,105,5
57,2019-12-29,30,86,66,5
58,2019-12-30,41,102,136,5
59,2020-01-28,3,14,10,5
60,2020-01-29,17,117,69,5
61,2020-01-30,23,130,80,5
62,2020-02-26,22,69,42,5
63,2020-02-27,41,179,103,5
64,2020-03-29,9,31,18,5
65,2020-03-30,74,221,104,5
66,2020-04-28,12,89,62,5
67,2020-04-29,41,156,89,5
68,2020-05-29,36,112,87,5
69,2020-05-30,39,125,52,5
70,2020-06-28,27,96,59,5
71,2020-06-29,42,123,105,5
72,2020-07-29,3,20,11,5
73,2020-07-30,49,248,123,5
74,2020-08-30,46,117,297,5
75,2020-09-28,17,77,46,5
76,2020-09-29,25,166,105,5
77,2020-10-29,11,18,17,5
78,2020-10-30,80,155,154,5
79,2020-11-29,33,314,99,5
80,2020-12-30,38,134,297,5
81,2021-01-30,49,259,142,5
82,2021-02-26,9,66,34,5
83,2021-02-27,53,169,123,5
84,2021-03-29,13,42,33,5
85,2021-03-30,35,214,93,5
86,2021-04-28,27,104,56,5
87,2021-04-29,43,148,63,5
88,2021-05-29,29,81,149,5
89,2021-05-30,29,103,56,5
